win,hero1,kda1,money1,output1,intake1,hero2,kda2,money2,output2,intake2,hero3,kda3,money3,output3,intake3,hero4,kda4,money4,output4,intake4,hero5,kda5,money5,output5,intake5,all_money_a,all_kill_a,all_tower_a
1,Da Mo,5/0/3,14613,39038,72635,Gongsun Li,2/2/7,13268,89891,69104,Yuan Ge,5/0/10,14482,185613,42468,Xiang Yu,1/1/3,10766,29150,93091,Taiyi Zhenren,2/3/8,8378,40641,97463,61507,15,9
0,Su Lie,0/3/4,9221,44237,106490,Hua Mulan,2/1/0,13031,44050,46828,Marco Polo,1/2/3,12323,81674,56002,Diao Chan,3/4/3,12292,99868,87476,Zhang Fei,0/5/5,7542,21141,153921,54409,6,2
1,Xiang Yu,1/0/4,8496,49561,61079,Laofuzi,0/1/7,8727,34338,38343,Marco Polo,6/0/3,9958,66594,36363,Yuan Ge,3/0/4,8277,60803,23994,Zhang Fei,1/0/6,6454,18248,62702,41912,11,8
0,Guan Yu,0/4/0,6361,23357,53675,Bai Qi,0/2/0,6183,27773,76688,Gongsun Li,1/2/0,6289,40751,37862,Baili Shouyue,0/1/1,5481,54572,21861,Lian Po,0/2/1,5097,17108,73930,29411,1,1
1,Xiang Yu,0/3/6,9274,30598,82002,Guan Yu,2/2/3,10464,56766,78608,Gongsun Li,6/1/4,13129,110379,61959,Diao Chan,4/0/7,11715,103156,60057,Jiang Ziya,0/0/9,7964,51901,34331,52546,12,8
0,Hua Mulan,0/4/1,9500,38260,71121,Dian Wei,2/2/2,9579,33752,90168,Marco Polo,3/1/2,10755,75510,59216,Yuan Ge,1/2/1,8998,87909,51161,Zhang Fei,0/3/4,6901,10387,123402,45733,6,4
1,Xiang Yu,0/3/10,9749,56559,97889,Guan Yu,2/1/8,11632,59149,74679,Marco Polo,4/1/7,11914,80824,51131,Diao Chan,8/0/4,11656,100902,66505,Toho Taiichi,3/3/10,7681,37612,102413,52632,17,7
0,Hua Mulan,1/4/3,9949,34070,57876,Dian Wei,0/4/4,9932,66862,92086,Pei Qinhu,6/1/1,10329,90304,66688,Yuan Ge,1/4/3,8321,85119,54114,Su Lie,0/4/2,6297,16270,112112,44828,8,2
0,Guan Yu,1/4/4,7921,28717,68034,Dian Wei,5/4/2,10091,52835,62325,Yang Yuhuan,1/5/8,8284,61353,47611,Baili Xuance,3/5/4,9409,37485,48186,Toho Taiichi,1/5/5,6588,48891,96227,42293,11,3
1,Su Lie,3/3/13,9158,53529,90434,Ake,11/2/6,11642,78919,61722,Zhang Liang,4/1/10,9528,66937,23996,Hua Mulan,4/2/4,10876,33616,42632,Guiguzi,1/4/18,6883,47462,68728,48087,23,7
0,Hua Mulan,6/6/5,14559,119601,112647,Cheng Yaojin,1/2/6,14628,78279,240361,Jiang Ziya,4/1/8,12838,199829,28597,Baili Xuance,2/3/7,17116,89134,97476,Toho Taiichi,0/7/7,9979,80849,179131,69120,13,6
1,Liu Bang,4/1/7,13487,67987,190938,Pei Qinhu,5/2/7,16856,141326,135557,Diao Chan,6/3/10,14003,175494,118184,Dian Wei,3/5/4,14366,113369,127672,Guiguzi,1/2/14,10869,43016,112834,69581,19,7
1,Ma Chao,3/2/1,13969,53276,70696,Tachibana Ukyo,1/1/3,11948,27075,61782,Li Yuanfang,3/2/3,12793,77924,56720,Shen Mengxi,1/0/5,12597,157479,19833,Dun Shan,1/4/4,7130,6485,62062,58437,9,8
0,Lv Bu,1/1/4,9850,34073,116374,Wang Zhaojun,4/2/4,8978,44823,56552,Meng Ya,2/2/3,12011,32006,42783,Naklulu,1/3/5,12009,40462,64627,Sun Bin,1/1/7,6846,32595,67084,49694,9,0
1,Bai Qi,0/3/10,10779,39898,108015,Zhao Yun,3/3/5,12433,24847,66643,Di Renjie,4/2/9,15897,71079,71989,Mai Shiranui,6/4/2,14004,63188,72149,Master Luban,1/0/13,9341,21041,65334,62454,14,5
0,Guan Yu,1/3/7,12734,50057,69132,Shen Mengxi,2/1/8,12972,153082,26827,Gongsun Li,2/3/5,12522,46422,65066,Lanlingwang,3/3/9,11219,53998,53226,Dun Shan,4/4/4,8323,15193,68772,57770,12,8
1,Guan Yu,3/2/6,13689,58600,69662,Pangu,7/3/7,12994,55240,85808,Sun Shangxiang,5/1/8,16688,115510,59777,Zhang Liang,1/3/12,10292,47214,42727,Taiyi Zhenren,1/1/15,9974,25498,85774,63637,17,6
0,Lian Po,2/3/5,10214,47894,92082,Mozi,2/3/6,10635,96750,72920,Galo,4/4/1,15194,70786,51525,Jing,2/3/2,14227,38873,66863,Bull Demon,0/4/5,8044,16335,69759,58314,10,2
0,Zhu Bajie,0/2/3,8179,22925,116268,Pei Qinhu,0/2/3,11375,41175,75426,Gongsun Li,1/2/2,12964,125418,71157,Shangguan Wan'er,3/2/0,9503,56638,35501,Yáo,1/1/3,7604,47245,39869,49625,5,3
1,Kuangtie,1/1/5,12482,37843,122315,Jiang Ziya,2/1/3,9724,79239,26509,Marco Polo,3/0/5,13265,120279,53737,Tachibana Ukyo,3/2/2,13039,30964,53571,Zhang Fei,0/1/7,7271,17785,109999,55781,9,8
1,Liu Bang,4/1/11,6316,45902,67670,Jing,5/2/4,9233,60242,58849,Sun Shangxiang,8/1/6,11700,67282,45727,Wu Zetian,5/1/10,8313,52218,21785,Taiyi Zhenren,2/2/11,5988,13900,56219,41550,24,8
0,Ma Chao,0/6/1,6406,46062,60674,Tachibana Ukyo,3/6/1,6346,33561,58497,Meng Ya,2/4/2,8713,55820,39099,Zhang Liang,1/5/4,5211,39401,38139,Zhang Fei,0/3/3,4655,10718,66182,31331,6,0
0,Guan Yu,2/2/3,10514,37619,53750,Lanlingwang,1/5/0,8215,32963,54438,Gongsun Li,4/2/1,11532,67624,42443,Yingzheng,1/3/4,9861,75699,44662,Dun Shan,0/4/6,6124,10899,65603,46246,8,5
1,Yào,4/0/3,12727,56294,55341,Agudo,2/1/13,9278,37700,81078,Di Renjie,5/3/7,11817,43794,45762,Wang Zhaojun,3/2/12,11349,46299,44765,Master Luban,2/2/11,7274,24421,71949,52445,16,7
1,Zhu Bajie,1/2/5,11046,59154,177681,Zhao Yun,4/0/4,18520,62493,88046,Marco Polo,5/0/4,19104,227843,72241,Shen Mengxi,1/1/7,14683,199318,25550,Sun Bin,0/2/8,10195,62825,52623,73548,11,8
0,Lv Bu,1/2/1,11611,60376,194339,Naklulu,1/2/2,18624,50288,79365,Sun Shangxiang,1/2/1,17098,98847,116699,Mai Shiranui,2/1/1,15084,85888,74425,Taiyi Zhenren,0/4/4,10999,24973,213460,73416,5,6
1,Ma Chao,4/4/0,16132,83660,89054,Tachibana Ukyo,1/6/4,11764,35262,79384,Yu Ji,3/0/6,15629,103651,40653,Jiang Ziya,2/1/5,10557,63962,16904,Zhang Fei,1/1/7,9274,18035,143595,63356,11,7
0,Kuangtie,2/2/3,13148,49420,120285,Jing,3/1/4,16532,56362,81402,Marco Polo,2/2/5,14806,98889,47935,Xishi,3/3/6,11641,78771,39169,Liu Bang,2/3/5,10575,20693,99239,66702,12,7
0,Meng Tian,3/2/3,10773,51425,37022,Jing,1/4/3,10196,43017,53379,Marco Polo,2/4/2,10372,64782,48940,Xishi,0/2/3,8064,76345,21999,Taiyi Zhenren,1/2/3,6421,13546,62022,45826,7,2
1,Zhao Yun,7/0/3,14497,61649,66815,Lian Po,1/3/4,8022,29743,76179,Galo,5/2/2,13539,64895,45382,Zhang Liang,0/2/6,7921,25053,32529,Zhang Fei,1/0/9,7924,15784,79401,51903,14,8
0,Zhu Bajie,1/3/6,9584,41451,149456,Naklulu,5/3/2,11954,62344,60284,Gongsun Li,1/4/6,11705,115106,86175,Mai Shiranui,3/2/5,9503,72931,69930,Su Lie,0/5/4,6295,40891,137853,49041,10,4
1,Ma Chao,3/2/8,12115,107458,77408,Lv Bu,4/2/12,10355,71962,138105,Pei Qinhu,7/0/6,14545,108262,84946,Shen Mengxi,3/3/13,11406,121692,39686,Bull Demon,0/3/14,7217,46369,80156,55638,17,9
0,Ma Chao,4/3/7,12439,77273,73780,Tachibana Ukyo,3/1/8,10228,57429,66829,Di Renjie,3/5/8,10723,100417,62866,Zhang Liang,4/2/7,8888,71564,37011,Zhang Fei,1/5/9,6815,31682,131538,49093,15,5
1,Naklulu,5/2/5,12809,51565,70621,Zhu Bajie,1/5/10,7255,19421,108756,Marco Polo,7/3/4,13790,128940,62971,Mozi,3/3/8,9279,78784,74478,Cai Wenji,0/2/14,7336,39396,76207,50469,16,6
1,Zhu Bajie,4/0/11,8882,44866,96471,Tachibana Ukyo,2/1/2,12250,34364,44061,Li Yuanfang,7/0/8,12260,87749,46356,Shen Mengxi,2/0/5,9213,94310,18904,Master Luban,1/1/14,6376,24690,56496,48981,16,9
0,Agudo,2/5/0,6427,26097,80077,Yào,0/3/1,7619,40291,62401,Yang Yuhuan,0/2/2,7509,42354,59032,Meng Ya,0/1/2,8892,56141,36077,Sun Bin,0/5/2,5073,21828,74869,35520,2,1
1,Guan Yu,3/1/1,9798,29862,47798,Pangu,3/2/6,10637,25458,40970,Yu Ji,5/3/4,12926,94467,43590,Xishi,0/1/7,8236,49272,24648,Taiyi Zhenren,0/3/8,7362,11302,65841,48959,11,3
0,Xiang Yu,2/2/5,8801,28295,68650,Jing,3/2/3,11987,47491,64039,Zhang Liang,2/2/4,9369,54873,27649,Gongsun Li,0/2/3,12766,38292,44517,Bull Demon,3/3/2,7229,15215,70140,50152,10,7
1,Laofuzi,2/3/9,18151,94185,161034,Lanlingwang,7/5/7,15690,64462,106379,Marco Polo,6/2/11,24185,167480,121072,Jiang Ziya,2/2/10,16409,103964,51394,Daqiao,2/2/13,16066,53952,83344,90501,19,9
0,Zhao Yun,2/4/5,21510,60947,137870,Ma Chao,3/5/4,21367,72952,125491,Zhou Yu,5/2/4,17461,109327,51046,Sun Shangxiang,4/3/7,23709,117967,82514,Taiyi Zhenren,0/5/9,14541,24397,188329,98588,14,6
1,Laofuzi,1/2/8,14528,68481,108480,Pei Qinhu,5/4/5,17063,83333,111312,Li Yuanfang,8/4/5,17730,126916,89121,Zhang Liang,1/3/8,12927,76110,47044,Daqiao,2/1/12,12689,46616,72120,74937,17,9
0,Jiang Ziya,1/3/6,14063,108943,46043,Jing,5/4/2,17952,46846,97141,Sun Shangxiang,3/5/6,16874,94359,73423,Zhu Bajie,4/4/4,11488,38459,134290,Zhang Fei,1/1/10,10999,21301,118231,71376,14,2
1,Ma Chao,3/2/1,13969,53276,70696,Tachibana Ukyo,1/1/3,11948,27075,61782,Li Yuanfang,3/2/3,12793,77924,56720,Shen Mengxi,1/0/5,12597,157479,19833,Dun Shan,1/4/4,7130,6485,62062,58437,9,8
0,Lv Bu,1/1/4,9850,34073,116374,Wang Zhaojun,4/2/4,8978,44823,56552,Meng Ya,2/2/3,12011,32006,42783,Naklulu,1/3/5,12009,40462,64627,Sun Bin,1/1/7,6846,32595,67084,49694,9,0
1,Bai Qi,0/3/10,10779,39898,108015,Zhao Yun,3/3/5,12433,24847,66643,Di Renjie,4/2/9,15897,71079,71989,Mai Shiranui,6/4/2,14004,63188,72149,Master Luban,1/0/13,9341,21041,65334,62454,14,5
0,Guan Yu,1/3/7,12734,50057,69132,Shen Mengxi,2/1/8,12972,153082,26827,Gongsun Li,2/3/5,12522,46422,65066,Lanlingwang,3/3/9,11219,53998,53226,Dun Shan,4/4/4,8323,15193,68772,57770,12,8
1,Guan Yu,3/2/6,13689,58600,69662,Pangu,7/3/7,12994,55240,85808,Sun Shangxiang,5/1/8,16688,115510,59777,Zhang Liang,1/3/12,10292,47214,42727,Taiyi Zhenren,1/1/15,9974,25498,85774,63637,17,6
0,Lian Po,2/3/5,10214,47894,92082,Mozi,2/3/6,10635,96750,72920,Galo,4/4/1,15194,70786,51525,Jing,2/3/2,14227,38873,66863,Bull Demon,0/4/5,8044,16335,69759,58314,10,2
0,Zhu Bajie,0/2/3,8179,22925,116268,Pei Qinhu,0/2/3,11375,41175,75426,Gongsun Li,1/2/2,12964,125418,71157,Shangguan Wan'er,3/2/0,9503,56638,35501,Yáo,1/1/3,7604,47245,39869,49625,5,3
1,Kuangtie,1/1/5,12482,37843,122315,Jiang Ziya,2/1/3,9724,79239,26509,Marco Polo,3/0/5,13265,120279,53737,Tachibana Ukyo,3/2/2,13039,30964,53571,Zhang Fei,0/1/7,7271,17785,109999,55781,9,8
1,Liu Bang,4/1/11,6316,45902,67670,Jing,5/2/4,9233,60242,58849,Sun Shangxiang,8/1/6,11700,67282,45727,Wu Zetian,5/1/10,8313,52218,21785,Taiyi Zhenren,2/2/11,5988,13900,56219,41550,24,8
0,Ma Chao,0/6/1,6406,46062,60674,Tachibana Ukyo,3/6/1,6346,33561,58497,Meng Ya,2/4/2,8713,55820,39099,Zhang Liang,1/5/4,5211,39401,38139,Zhang Fei,0/3/3,4655,10718,66182,31331,6,0
0,Guan Yu,2/2/3,10514,37619,53750,Lanlingwang,1/5/0,8215,32963,54438,Gongsun Li,4/2/1,11532,67624,42443,Yingzheng,1/3/4,9861,75699,44662,Dun Shan,0/4/6,6124,10899,65603,46246,8,5
1,Yào,4/0/3,12727,56294,55341,Agudo,2/1/13,9278,37700,81078,Di Renjie,5/3/7,11817,43794,45762,Wang Zhaojun,3/2/12,11349,46299,44765,Master Luban,2/2/11,7274,24421,71949,52445,16,7
1,Zhu Bajie,1/2/5,11046,59154,177681,Zhao Yun,4/0/4,18520,62493,88046,Marco Polo,5/0/4,19104,227843,72241,Shen Mengxi,1/1/7,14683,199318,25550,Sun Bin,0/2/8,10195,62825,52623,73548,11,8
0,Lv Bu,1/2/1,11611,60376,194339,Naklulu,1/2/2,18624,50288,79365,Sun Shangxiang,1/2/1,17098,98847,116699,Mai Shiranui,2/1/1,15084,85888,74425,Taiyi Zhenren,0/4/4,10999,24973,213460,73416,5,6
1,Ma Chao,4/4/0,16132,83660,89054,Tachibana Ukyo,1/6/4,11764,35262,79384,Yu Ji,3/0/6,15629,103651,40653,Jiang Ziya,2/1/5,10557,63962,16904,Zhang Fei,1/1/7,9274,18035,143595,63356,11,7
0,Kuangtie,2/2/3,13148,49420,120285,Jing,3/1/4,16532,56362,81402,Marco Polo,2/2/5,14806,98889,47935,Xishi,3/3/6,11641,78771,39169,Liu Bang,2/3/5,10575,20693,99239,66702,12,7
0,Meng Tian,3/2/3,10773,51425,37022,Jing,1/4/3,10196,43017,53379,Marco Polo,2/4/2,10372,64782,48940,Xishi,0/2/3,8064,76345,21999,Taiyi Zhenren,1/2/3,6421,13546,62022,45826,7,2
1,Zhao Yun,7/0/3,14497,61649,66815,Lian Po,1/3/4,8022,29743,76179,Galo,5/2/2,13539,64895,45382,Zhang Liang,0/2/6,7921,25053,32529,Zhang Fei,1/0/9,7924,15784,79401,51903,14,8
0,Zhu Bajie,1/3/6,9584,41451,149456,Naklulu,5/3/2,11954,62344,60284,Gongsun Li,1/4/6,11705,115106,86175,Mai Shiranui,3/2/5,9503,72931,69930,Su Lie,0/5/4,6295,40891,137853,49041,10,4
1,Ma Chao,3/2/8,12115,107458,77408,Lv Bu,4/2/12,10355,71962,138105,Pei Qinhu,7/0/6,14545,108262,84946,Shen Mengxi,3/3/13,11406,121692,39686,Bull Demon,0/3/14,7217,46369,80156,55638,17,9
0,Ma Chao,4/3/7,12439,77273,73780,Tachibana Ukyo,3/1/8,10228,57429,66829,Di Renjie,3/5/8,10723,100417,62866,Zhang Liang,4/2/7,8888,71564,37011,Zhang Fei,1/5/9,6815,31682,131538,49093,15,5
1,Naklulu,5/2/5,12809,51565,70621,Zhu Bajie,1/5/10,7255,19421,108756,Marco Polo,7/3/4,13790,128940,62971,Mozi,3/3/8,9279,78784,74478,Cai Wenji,0/2/14,7336,39396,76207,50469,16,6
1,Zhu Bajie,4/0/11,8882,44866,96471,Tachibana Ukyo,2/1/2,12250,34364,44061,Li Yuanfang,7/0/8,12260,87749,46356,Shen Mengxi,2/0/5,9213,94310,18904,Master Luban,1/1/14,6376,24690,56496,48981,16,9
0,Agudo,2/5/0,6427,26097,80077,Yào,0/3/1,7619,40291,62401,Yang Yuhuan,0/2/2,7509,42354,59032,Meng Ya,0/1/2,8892,56141,36077,Sun Bin,0/5/2,5073,21828,74869,35520,2,1
1,Guan Yu,3/1/1,9798,29862,47798,Pangu,3/2/6,10637,25458,40970,Yu Ji,5/3/4,12926,94467,43590,Xishi,0/1/7,8236,49272,24648,Taiyi Zhenren,0/3/8,7362,11302,65841,48959,11,3
0,Xiang Yu,2/2/5,8801,28295,68650,Jing,3/2/3,11987,47491,64039,Zhang Liang,2/2/4,9369,54873,27649,Gongsun Li,0/2/3,12766,38292,44517,Bull Demon,3/3/2,7229,15215,70140,50152,10,7
1,Laofuzi,2/3/9,18151,94185,161034,Lanlingwang,7/5/7,15690,64462,106379,Marco Polo,6/2/11,24185,167480,121072,Jiang Ziya,2/2/10,16409,103964,51394,Daqiao,2/2/13,16066,53952,83344,90501,19,9
0,Zhao Yun,2/4/5,21510,60947,137870,Ma Chao,3/5/4,21367,72952,125491,Zhou Yu,5/2/4,17461,109327,51046,Sun Shangxiang,4/3/7,23709,117967,82514,Taiyi Zhenren,0/5/9,14541,24397,188329,98588,14,6
1,Laofuzi,1/2/8,14528,68481,108480,Pei Qinhu,5/4/5,17063,83333,111312,Li Yuanfang,8/4/5,17730,126916,89121,Zhang Liang,1/3/8,12927,76110,47044,Daqiao,2/1/12,12689,46616,72120,74937,17,9
0,Jiang Ziya,1/3/6,14063,108943,46043,Jing,5/4/2,17952,46846,97141,Sun Shangxiang,3/5/6,16874,94359,73423,Zhu Bajie,4/4/4,11488,38459,134290,Zhang Fei,1/1/10,10999,21301,118231,71376,14,2
1,Ma Chao,3/2/1,13969,53276,70696,Tachibana Ukyo,1/1/3,11948,27075,61782,Li Yuanfang,3/2/3,12793,77924,56720,Shen Mengxi,1/0/5,12597,157479,19833,Dun Shan,1/4/4,7130,6485,62062,58437,9,8
0,Lv Bu,1/1/4,9850,34073,116374,Wang Zhaojun,4/2/4,8978,44823,56552,Meng Ya,2/2/3,12011,32006,42783,Naklulu,1/3/5,12009,40462,64627,Sun Bin,1/1/7,6846,32595,67084,49694,9,0
1,Bai Qi,0/3/10,10779,39898,108015,Zhao Yun,3/3/5,12433,24847,66643,Di Renjie,4/2/9,15897,71079,71989,Mai Shiranui,6/4/2,14004,63188,72149,Master Luban,1/0/13,9341,21041,65334,62454,14,5
0,Guan Yu,1/3/7,12734,50057,69132,Shen Mengxi,2/1/8,12972,153082,26827,Gongsun Li,2/3/5,12522,46422,65066,Lanlingwang,3/3/9,11219,53998,53226,Dun Shan,4/4/4,8323,15193,68772,57770,12,8
1,Guan Yu,3/2/6,13689,58600,69662,Pangu,7/3/7,12994,55240,85808,Sun Shangxiang,5/1/8,16688,115510,59777,Zhang Liang,1/3/12,10292,47214,42727,Taiyi Zhenren,1/1/15,9974,25498,85774,63637,17,6
0,Lian Po,2/3/5,10214,47894,92082,Mozi,2/3/6,10635,96750,72920,Galo,4/4/1,15194,70786,51525,Jing,2/3/2,14227,38873,66863,Bull Demon,0/4/5,8044,16335,69759,58314,10,2
0,Zhu Bajie,0/2/3,8179,22925,116268,Pei Qinhu,0/2/3,11375,41175,75426,Gongsun Li,1/2/2,12964,125418,71157,Shangguan Wan'er,3/2/0,9503,56638,35501,Yáo,1/1/3,7604,47245,39869,49625,5,3
1,Kuangtie,1/1/5,12482,37843,122315,Jiang Ziya,2/1/3,9724,79239,26509,Marco Polo,3/0/5,13265,120279,53737,Tachibana Ukyo,3/2/2,13039,30964,53571,Zhang Fei,0/1/7,7271,17785,109999,55781,9,8
1,Liu Bang,4/1/11,6316,45902,67670,Jing,5/2/4,9233,60242,58849,Sun Shangxiang,8/1/6,11700,67282,45727,Wu Zetian,5/1/10,8313,52218,21785,Taiyi Zhenren,2/2/11,5988,13900,56219,41550,24,8
0,Ma Chao,0/6/1,6406,46062,60674,Tachibana Ukyo,3/6/1,6346,33561,58497,Meng Ya,2/4/2,8713,55820,39099,Zhang Liang,1/5/4,5211,39401,38139,Zhang Fei,0/3/3,4655,10718,66182,31331,6,0
0,Guan Yu,2/2/3,10514,37619,53750,Lanlingwang,1/5/0,8215,32963,54438,Gongsun Li,4/2/1,11532,67624,42443,Yingzheng,1/3/4,9861,75699,44662,Dun Shan,0/4/6,6124,10899,65603,46246,8,5
1,Yào,4/0/3,12727,56294,55341,Agudo,2/1/13,9278,37700,81078,Di Renjie,5/3/7,11817,43794,45762,Wang Zhaojun,3/2/12,11349,46299,44765,Master Luban,2/2/11,7274,24421,71949,52445,16,7
1,Zhu Bajie,1/2/5,11046,59154,177681,Zhao Yun,4/0/4,18520,62493,88046,Marco Polo,5/0/4,19104,227843,72241,Shen Mengxi,1/1/7,14683,199318,25550,Sun Bin,0/2/8,10195,62825,52623,73548,11,8
0,Lv Bu,1/2/1,11611,60376,194339,Naklulu,1/2/2,18624,50288,79365,Sun Shangxiang,1/2/1,17098,98847,116699,Mai Shiranui,2/1/1,15084,85888,74425,Taiyi Zhenren,0/4/4,10999,24973,213460,73416,5,6
1,Ma Chao,4/4/0,16132,83660,89054,Tachibana Ukyo,1/6/4,11764,35262,79384,Yu Ji,3/0/6,15629,103651,40653,Jiang Ziya,2/1/5,10557,63962,16904,Zhang Fei,1/1/7,9274,18035,143595,63356,11,7
0,Kuangtie,2/2/3,13148,49420,120285,Jing,3/1/4,16532,56362,81402,Marco Polo,2/2/5,14806,98889,47935,Xishi,3/3/6,11641,78771,39169,Liu Bang,2/3/5,10575,20693,99239,66702,12,7
0,Meng Tian,3/2/3,10773,51425,37022,Jing,1/4/3,10196,43017,53379,Marco Polo,2/4/2,10372,64782,48940,Xishi,0/2/3,8064,76345,21999,Taiyi Zhenren,1/2/3,6421,13546,62022,45826,7,2
1,Zhao Yun,7/0/3,14497,61649,66815,Lian Po,1/3/4,8022,29743,76179,Galo,5/2/2,13539,64895,45382,Zhang Liang,0/2/6,7921,25053,32529,Zhang Fei,1/0/9,7924,15784,79401,51903,14,8
0,Zhu Bajie,1/3/6,9584,41451,149456,Naklulu,5/3/2,11954,62344,60284,Gongsun Li,1/4/6,11705,115106,86175,Mai Shiranui,3/2/5,9503,72931,69930,Su Lie,0/5/4,6295,40891,137853,49041,10,4
1,Ma Chao,3/2/8,12115,107458,77408,Lv Bu,4/2/12,10355,71962,138105,Pei Qinhu,7/0/6,14545,108262,84946,Shen Mengxi,3/3/13,11406,121692,39686,Bull Demon,0/3/14,7217,46369,80156,55638,17,9
0,Ma Chao,4/3/7,12439,77273,73780,Tachibana Ukyo,3/1/8,10228,57429,66829,Di Renjie,3/5/8,10723,100417,62866,Zhang Liang,4/2/7,8888,71564,37011,Zhang Fei,1/5/9,6815,31682,131538,49093,15,5
1,Naklulu,5/2/5,12809,51565,70621,Zhu Bajie,1/5/10,7255,19421,108756,Marco Polo,7/3/4,13790,128940,62971,Mozi,3/3/8,9279,78784,74478,Cai Wenji,0/2/14,7336,39396,76207,50469,16,6
1,Zhu Bajie,4/0/11,8882,44866,96471,Tachibana Ukyo,2/1/2,12250,34364,44061,Li Yuanfang,7/0/8,12260,87749,46356,Shen Mengxi,2/0/5,9213,94310,18904,Master Luban,1/1/14,6376,24690,56496,48981,16,9
0,Agudo,2/5/0,6427,26097,80077,Yào,0/3/1,7619,40291,62401,Yang Yuhuan,0/2/2,7509,42354,59032,Meng Ya,0/1/2,8892,56141,36077,Sun Bin,0/5/2,5073,21828,74869,35520,2,1
1,Guan Yu,3/1/1,9798,29862,47798,Pangu,3/2/6,10637,25458,40970,Yu Ji,5/3/4,12926,94467,43590,Xishi,0/1/7,8236,49272,24648,Taiyi Zhenren,0/3/8,7362,11302,65841,48959,11,3
0,Xiang Yu,2/2/5,8801,28295,68650,Jing,3/2/3,11987,47491,64039,Zhang Liang,2/2/4,9369,54873,27649,Gongsun Li,0/2/3,12766,38292,44517,Bull Demon,3/3/2,7229,15215,70140,50152,10,7
1,Laofuzi,2/3/9,18151,94185,161034,Lanlingwang,7/5/7,15690,64462,106379,Marco Polo,6/2/11,24185,167480,121072,Jiang Ziya,2/2/10,16409,103964,51394,Daqiao,2/2/13,16066,53952,83344,90501,19,9
0,Zhao Yun,2/4/5,21510,60947,137870,Ma Chao,3/5/4,21367,72952,125491,Zhou Yu,5/2/4,17461,109327,51046,Sun Shangxiang,4/3/7,23709,117967,82514,Taiyi Zhenren,0/5/9,14541,24397,188329,98588,14,6
1,Laofuzi,1/2/8,14528,68481,108480,Pei Qinhu,5/4/5,17063,83333,111312,Li Yuanfang,8/4/5,17730,126916,89121,Zhang Liang,1/3/8,12927,76110,47044,Daqiao,2/1/12,12689,46616,72120,74937,17,9
0,Jiang Ziya,1/3/6,14063,108943,46043,Jing,5/4/2,17952,46846,97141,Sun Shangxiang,3/5/6,16874,94359,73423,Zhu Bajie,4/4/4,11488,38459,134290,Zhang Fei,1/1/10,10999,21301,118231,71376,14,2
1,Su Lie,1/2/6,9547,32665,106031,Ake,4/1/4,13167,50949,62758,Yang Yuhuan,4/1/6,11935,119616,58023,Dian Wei,1/1/2,12836,27004,47716,Guiguzi,0/2/5,6617,24112,58594,54102,10,7
0,Lv Bu,2/2/4,10041,47787,84303,Luna,0/3/1,11183,46199,74453,Hua Mulan,3/1/3,12367,72874,45321,Zhuang Zhou,1/4/5,8378,56268,110302,Daqiao,1/0/5,7424,33447,11682,49393,7,2
0,Laofuzi,0/2/4,9680,32484,75000,Naklulu,0/2/2,10806,30501,58486,Yang Yuhuan,1/3/1,9175,61715,56630,Sun Ce,1/2/2,9946,40437,65405,Sun Bin,2/2/2,6565,40329,55962,46172,4,2
1,Bai Qi,2/1/5,9888,36495,77145,Guan Yu,2/0/3,12078,36464,41147,Gongsun Li,4/0/4,12432,60859,43918,Ganjiang Moye,2/2/5,11370,102192,32135,Zhang Fei,1/1/7,7977,19311,98851,53745,11,9
1,Laofuzi,1/1/9,5590,17955,34695,Gongsun Li,7/0/6,7298,34277,24856,Yang Yuhuan,3/0/7,5814,33655,20222,Dian Wei,3/1/7,6770,39369,21954,Sun Bin,0/0/11,3864,19109,13760,29336,14,5
0,Su Lie,0/2/2,4765,15179,43006,Cheng Yaojin,0/3/2,5382,11332,44070,Baili Xuance,2/2/0,5052,15552,26251,Sima Yi,0/4/2,4990,24316,36066,Taiyi Zhenren,0/3/2,3944,11926,27921,24133,2,2
1,Xiang Yu,1/4/12,9195,71049,116103,Gongsun Li,6/2/7,13594,84868,71353,Yang Yuhuan,3/2/13,13138,104833,65118,Guan Yu,8/0/7,15896,91539,77965,Guiguzi,1/5/13,7906,34569,95038,59729,19,8
0,Su Lie,2/4/6,9741,38999,136256,Ake,6/3/5,16150,94503,88915,Diao Chan,2/6/6,12543,104510,96250,Dian Wei,2/4/5,12628,54626,77190,Sun Bin,1/2/7,8505,43756,55968,59567,13,6
1,Xiahou Dun,0/3/7,8950,27722,97615,Gongsun Li,4/2/3,13190,49067,62915,Diao Chan,1/3/7,10080,56166,65229,Hua Mulan,4/1/5,13529,56744,53267,Jiang Ziya,1/4/6,7567,68207,46644,53316,10,7
0,Laofuzi,5/1/6,9999,31105,87893,Yu Ji,5/2/6,13126,83136,51851,Yang Yuhuan,1/2/9,10950,73086,48799,Sun Ce,1/3/6,11025,31473,59020,Sun Bin,1/2/11,7108,39340,58300,52208,13,3
1,Dun Shan,1/0/7,6178,10119,38315,Gongsun Li,4/0/3,8830,30678,28945,Diao Chan,4/0/4,8135,56231,42540,Laofuzi,8/0/4,10209,53926,33882,Sun Bin,0/0/10,5253,16116,19088,38605,17,9
